Regressierte Tests bei 10.0% Tolleranz : 
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testContent1 Score: 0.018 Bais Test Score: 0.005
testLoop1 Score: 0.009 Bais Test Score: 0.008
testLoop2 Score: 0.010750000000000001 Bais Test Score: 0.008666666666666668
testLoop3 Score: 0.011999999999999999 Bais Test Score: 0.01
net.ssehub.easy.instantiation.core.model.templateModel.IndentationUtilsTests.testRemoval Score: 0.001 Bais Test Score: 5.0E-4
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testEmpty Score: 0.004 Bais Test Score: 0.003
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testStrategy1 Score: 0.042 Bais Test Score: 0.034
testLoadPropertiesOS Score: 0.02125 Bais Test Score: 0.018666666666666668
test.de.uni_hildesheim.sse.vil.templatelang.BasicTests.testCompoundFail1 Score: 0.011 Bais Test Score: 0.0085
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testStrings Score: 0.055 Bais Test Score: 0.037000000000000005
testRulesDuplicated Score: 0.00775 Bais Test Score: 0.007
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testBoolean Score: 0.017 Bais Test Score: 0.014
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testOutdated Score: 0.051 Bais Test Score: 0.040499999999999994
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testParameter Score: 0.309 Bais Test Score: 0.241
net.ssehub.easy.instantiation.serializer.xml.ExecuteQM2ModelFromXMLTest.testExecuteIVML Score: 4.05 Bais Test Score: 2.117
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testTactics2 Score: 0.053 Bais Test Score: 0.036500000000000005
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testTactics1 Score: 0.018 Bais Test Score: 0.0155
testQm4 Score: 0.05825 Bais Test Score: 0.052333333333333336
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testContent10 Score: 0.018 Bais Test Score: 0.0135
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testContent12 Score: 0.011 Bais Test Score: 0.0095
testDispatch2 Score: 0.031 Bais Test Score: 0.02733333333333333
testQm9 Score: 0.01875 Bais Test Score: 0.016666666666666666
testQm6 Score: 0.09975 Bais Test Score: 0.08333333333333333
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testApply2 Score: 0.039 Bais Test Score: 0.0325
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testApply4 Score: 0.034 Bais Test Score: 0.014499999999999999
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testApply3 Score: 0.023 Bais Test Score: 0.0185
net.ssehub.easy.instantiation.java.ExecutionTests.testDeleteWithCallsClasspathAsSetOfPath Score: 0.262 Bais Test Score: 0.23099999999999998
net.ssehub.easy.instantiation.java.artifacts.JavaFileArtifactTest.testRenamePackage Score: 0.05 Bais Test Score: 0.042499999999999996
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testTypeSelect2 Score: 0.107 Bais Test Score: 0.0895
testOverlapsDirectMatch Score: 7.5E-4 Bais Test Score: 6.666666666666666E-4
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testNull1 Score: 0.027 Bais Test Score: 0.023
test.de.uni_hildesheim.sse.vil.templatelang.BasicTests.testImportCycle1 Score: 0.004 Bais Test Score: 0.0035
test.de.uni_hildesheim.sse.vil.templatelang.BasicTests.testImportCycle2 Score: 0.007 Bais Test Score: 0.004
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testSetsSequences Score: 0.011 Bais Test Score: 0.0055
testDef Score: 0.0165 Bais Test Score: 0.014666666666666668
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testQm7 Score: 0.269 Bais Test Score: 0.21999999999999997
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testRename Score: 0.074 Bais Test Score: 0.065
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testQm1 Score: 0.182 Bais Test Score: 0.16
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testCopy Score: 0.016 Bais Test Score: 0.014
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testALTest Score: 0.448 Bais Test Score: 0.3935
testImplicationNoDeviation1 Score: 0.0015 Bais Test Score: 0.0013333333333333333
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testVtl4 Score: 0.075 Bais Test Score: 0.0675
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testNestedTypes Score: 0.023 Bais Test Score: 0.014
testSequence Score: 0.0125 Bais Test Score: 0.01
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testJavaPath Score: 0.019 Bais Test Score: 0.015
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testText Score: 0.081 Bais Test Score: 0.0715
testBoolean2 Score: 0.04225 Bais Test Score: 0.037
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testAllInstances Score: 0.762 Bais Test Score: 0.6395
net.ssehub.easy.instantiation.java.artifacts.JavaFileArtifactTest.testDeleteMethods Score: 0.09 Bais Test Score: 0.076
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testTypeSelect Score: 0.008 Bais Test Score: 0.007
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testSubstrategy Score: 0.237 Bais Test Score: 0.17149999999999999
net.ssehub.easy.instantiation.core.model.vilTypes.TypeDescriptorTest.testBasicTypes Score: 0.001 Bais Test Score: 5.0E-4
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testReturn Score: 0.053 Bais Test Score: 0.032
testJdkPath Score: 0.07175000000000001 Bais Test Score: 0.002
testVariableDeclarationsFail3 Score: 0.0022500000000000003 Bais Test Score: 0.002
testBooleans Score: 0.026999999999999996 Bais Test Score: 0.024000000000000004
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testFlush Score: 0.01 Bais Test Score: 0.0085
net.ssehub.easy.instantiation.serializer.xml.VtlPersistencyTest.testReadWrite Score: 12.8 Bais Test Score: 6.995
net.ssehub.easy.instantiation.aspectj.ExecutionTests.testAspectJ Score: 2.734 Bais Test Score: 2.4589999999999996
testDefault Score: 0.029 Bais Test Score: 0.024000000000000004
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testRules4 Score: 0.032 Bais Test Score: 0.028499999999999998
testReturn2 Score: 0.02975 Bais Test Score: 0.02466666666666667
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testFormat Score: 0.109 Bais Test Score: 0.07550000000000001
net.ssehub.easy.instantiation.serializer.xml.SerializeQM2ModelTest.testApplyVilScript Score: 0.075 Bais Test Score: 0.058499999999999996
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testImport2 Score: 0.015 Bais Test Score: 0.0095
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testQm2o1 Score: 0.041 Bais Test Score: 0.035
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testLoop2 Score: 0.009 Bais Test Score: 0.008
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testLoop3 Score: 0.013 Bais Test Score: 0.010499999999999999
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testInstances3 Score: 0.086 Bais Test Score: 0.07
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testRecursion Score: 0.072 Bais Test Score: 0.039
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testLineEnd Score: 0.008 Bais Test Score: 0.0065
testNoReplacement Score: 5.0E-4 Bais Test Score: 3.333333333333333E-4
testVariables2 Score: 0.007500000000000001 Bais Test Score: 0.006666666666666667
testGreaterEqualsComparison Score: 0.00175 Bais Test Score: 0.001
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testSequences Score: 0.082 Bais Test Score: 0.072
testCompound2 Score: 0.0375 Bais Test Score: 0.03266666666666667
testMapJoin6 Score: 0.0095 Bais Test Score: 0.008333333333333333
testDef5 Score: 0.03875 Bais Test Score: 0.03333333333333333
testOverlapsFurtherCases Score: 0.00575 Bais Test Score: 0.005
testTactics2 Score: 0.056249999999999994 Bais Test Score: 0.051
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testReferences3 Score: 0.027 Bais Test Score: 0.022
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testFunction3 Score: 0.016 Bais Test Score: 0.009
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testRandom Score: 0.007 Bais Test Score: 0.005
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testTimeout Score: 0.055 Bais Test Score: 0.0435
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testRulesDuplicated Score: 0.009 Bais Test Score: 0.006999999999999999
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testVariableDeclarationsFail1 Score: 0.003 Bais Test Score: 0.0025
testStrategyFail3 Score: 0.00425 Bais Test Score: 0.0036666666666666666
testStrategyFail4 Score: 0.00925 Bais Test Score: 0.008
testStrategyFail6 Score: 0.017 Bais Test Score: 0.014666666666666666
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testVariableDeclarationsFail2 Score: 0.003 Bais Test Score: 0.0025
testStrategyFail1 Score: 0.010499999999999999 Bais Test Score: 0.007666666666666666
testStrategyFail2 Score: 0.00825 Bais Test Score: 0.006333333333333334
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testVariableDeclarations2 Score: 0.01 Bais Test Score: 0.005
net.ssehub.easy.instantiation.core.model.buildlangModel.StrategyCallExpressionTest.testSystemExecution Score: 0.209 Bais Test Score: 0.1625
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testCast1 Score: 0.032 Bais Test Score: 0.029
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testMapJoin1 Score: 0.013 Bais Test Score: 0.0085
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testMapJoin2 Score: 0.01 Bais Test Score: 0.006500000000000001
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testMapJoin3 Score: 0.009 Bais Test Score: 0.008
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testDef Score: 0.023 Bais Test Score: 0.017
test.de.uni_hildesheim.sse.vil.buildlang.BasicTests.testMapJoin6 Score: 0.013 Bais Test Score: 0.009
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testVariableDeclarations2 Score: 0.023 Bais Test Score: 0.005
